,Name,Description,Amount,Date
0,"Primal Beef Stick,Spicy",GF 1 oz (Pack of 20)20,173,2024-10-08T21:49:21.241Z
1,Gatorade Thirst Quencher Sports Drink 20oz,Fruit Punch,244,2024-10-08T01:06:41Z
2,Gatorade Thirst Quencher Sports Drink 20oz,Fruit Punch,244,2024-10-08T01:06:32.108Z
3,CLIF Kid Zbar - Organic Energy Bar - Chocolate Brownie,(1.2 oz)54,189,2024-10-08T00:52:40Z
4,CLIF Kid Zbar - Organic Energy Bar - Chocolate Brownie,(1.2 oz)54,189,2024-10-08T00:52:09.907Z
5,Ozarka Water Bottle 16.9oz,Regular,216,2024-10-08T00:09:55Z
6,Ozarka Water Bottle 16.9oz,Regular,216,2024-10-08T00:09:50.316Z
7,CAPITAN: Non-Participant/Spectator Day Pass,CAPITAN: Non-Participant/Spectator Day Pass,2896,2024-10-08T00:08:48Z
8,CAPITAN: Youth Day Pass with Gear (Under 14 y/o),CAPITAN: Youth Day Pass with Gear (Under 14 y/o),2896,2024-10-08T00:08:48Z
9,CLIF Z Bar Chocolate Chip,Chocolate Chip,2896,2024-10-08T00:08:48Z
10,CLIF Z Bar Chocolate Chip,Chocolate Chip,2896,2024-10-08T00:08:27.259Z
11,CAPITAN: Non-Participant/Spectator Day Pass,CAPITAN: Non-Participant/Spectator Day Pass,2896,2024-10-08T00:08:27.259Z
12,CAPITAN: Youth Day Pass with Gear (Under 14 y/o),CAPITAN: Youth Day Pass with Gear (Under 14 y/o),2896,2024-10-08T00:08:27.259Z
13,CAPITAN: Day Pass with Gear (Adult 14 and Up),CAPITAN: Day Pass with Gear (Adult 14 and Up),5629,2024-10-07T23:14:23Z
14,CAPITAN: Day Pass with Gear (Adult 14 and Up),CAPITAN: Day Pass with Gear (Adult 14 and Up),5629,2024-10-07T23:14:10.814Z
15,Ozarka Water Bottle 16.9oz,Regular,195,2024-10-07T23:10:03Z
16,Ozarka Water Bottle 16.9oz,Regular,195,2024-10-07T23:09:53.128Z
17,Honey Stinger Organic Salted Caramel Flavored Waffle,Regular,428,2024-10-07T23:00:06Z
18,Red Bull Energy Drink 8.4 oz,Regular,428,2024-10-07T23:00:06Z
19,Red Bull Energy Drink 8.4 oz,Regular,428,2024-10-07T22:59:54.172Z
20,Honey Stinger Organic Salted Caramel Flavored Waffle,Regular,428,2024-10-07T22:59:54.172Z
21,Skratch Labs Sport Hydration Drink Mix,Lemon + Lime,175,2024-10-07T22:58:21Z
22,Skratch Labs Sport Hydration Drink Mix,Lemon + Lime,175,2024-10-07T22:58:15.257Z
23,Skratch Labs Sport Hydration Drink Mix,Lemon + Lime,175,2024-10-07T22:57:43.746Z
24,Skratch Labs Sport Hydration Drink Mix,Lemon + Lime,175,2024-10-07T22:56:52.337Z
25,BodyArmor 20 oz,Fruit Punch,244,2024-10-07T22:48:11.615Z
26,Bobos Oat Bars Apple Pie Oat Bites,1.3 Oz,292,2024-10-07T22:33:29Z
27,Bobos Oat Bars Apple Pie Oat Bites,1.3 Oz,292,2024-10-07T22:33:22.582Z
28,Gatorade Thirst Quencher Sports Drink 20oz,Lemon Lime,18446,2024-10-07T20:56:50Z
29,GripSaver Plus 3 pack,3 Pack,18446,2024-10-07T20:56:50Z
30,UNPARALLEL UP-MOCC,10.5,18446,2024-10-07T20:56:50Z
31,UNPARALLEL UP-MOCC,10.5,18446,2024-10-07T20:56:38.903Z
32,GripSaver Plus 3 pack,3 Pack,18446,2024-10-07T20:56:38.903Z
33,Gatorade Thirst Quencher Sports Drink 20oz,Lemon Lime,18446,2024-10-07T20:56:38.903Z
34,CAPITAN: Non-Participant/Spectator Day Pass,CAPITAN: Non-Participant/Spectator Day Pass,2706,2024-10-07T20:20:06Z
35,CAPITAN: Youth Day Pass with Gear (Under 14 y/o),CAPITAN: Youth Day Pass with Gear (Under 14 y/o),2706,2024-10-07T20:20:06Z
36,CAPITAN: Non-Participant/Spectator Day Pass,CAPITAN: Non-Participant/Spectator Day Pass,2706,2024-10-07T20:19:50.928Z
37,CAPITAN: Youth Day Pass with Gear (Under 14 y/o),CAPITAN: Youth Day Pass with Gear (Under 14 y/o),2706,2024-10-07T20:19:50.928Z
38,Midnight Lightning Chunky Blend Chalk,Chunky Blend Chalk - 1.5oz,456,2024-10-07T20:02:37Z
39,Midnight Lightning Chunky Blend Chalk,Chunky Blend Chalk - 1.5oz,456,2024-10-07T20:02:27.816Z
40,Midnight Lightning Chalktopus,Regular,1888,2024-10-07T19:32:59Z
41,Primo Odor Orb,Regular,1888,2024-10-07T19:32:59Z
42,Primo Odor Orb,Regular,1888,2024-10-07T19:32:53.242Z
43,Midnight Lightning Chalktopus,Regular,1888,2024-10-07T19:32:53.242Z
44,Red Bull Energy Drink 8.4 oz,Regular,246,2024-10-07T15:25:05Z
45,Red Bull Energy Drink 8.4 oz,Regular,246,2024-10-07T15:24:15.000Z
46,rungne Magdust,Regular,1818,2024-10-06T23:07:00Z
47,rungne Magdust,Regular,1818,2024-10-06T23:06:54.840Z
48,rungne Magdust,Regular,2337,2024-10-06T21:28:53Z
49,rungne Magdust,Regular,2337,2024-10-06T21:28:42.788Z
50,8bplus Character Chalk Bag,Bruno,7123,2024-10-06T21:17:45Z
51,8bplus Character Chalk Bag,Laurel,7123,2024-10-06T21:17:45Z
52,8bplus Character Chalk Bag,Bruno,7123,2024-10-06T21:17:39.465Z
53,8bplus Character Chalk Bag,Laurel,7123,2024-10-06T21:17:39.465Z
54,CAPITAN: Day Pass with Gear (Adult 14 and Up),CAPITAN: Day Pass with Gear (Adult 14 and Up),6062,2024-10-06T21:00:40Z
55,CAPITAN: Non-Participant/Spectator Day Pass,CAPITAN: Non-Participant/Spectator Day Pass,6062,2024-10-06T21:00:40Z
56,CAPITAN: Youth Day Pass with Gear (Under 14 y/o),CAPITAN: Youth Day Pass with Gear (Under 14 y/o),6062,2024-10-06T21:00:40Z
57,CAPITAN: Day Pass with Gear (Adult 14 and Up),CAPITAN: Day Pass with Gear (Adult 14 and Up),6062,2024-10-06T21:00:31.487Z
58,CAPITAN: Youth Day Pass with Gear (Under 14 y/o),CAPITAN: Youth Day Pass with Gear (Under 14 y/o),6062,2024-10-06T21:00:31.487Z
59,CAPITAN: Non-Participant/Spectator Day Pass,CAPITAN: Non-Participant/Spectator Day Pass,6062,2024-10-06T21:00:31.487Z
60,Metolius Climbing Tape Roll White,One Size,969,2024-10-06T20:42:13Z
61,Metolius Climbing Tape Roll White,One Size,969,2024-10-06T20:42:05.212Z
62,Petzl Sama Climbing Harness,L (gray),7789,2024-10-06T20:24:15Z
63,Petzl Sama Climbing Harness,L (gray),7789,2024-10-06T20:24:05.128Z
64,rungne Magdust,Regular,2597,2024-10-06T20:17:55Z
65,rungne Magdust,Regular,2597,2024-10-06T20:17:42.009Z
66,Vita Coco Coconut Water 11.1oz,Regular,298,2024-10-06T19:57:31Z
67,Vita Coco Coconut Water 11.1oz,Regular,298,2024-10-06T19:57:26.070Z
68,CAPITAN: Day Pass with Gear (Adult 14 and Up),CAPITAN: Day Pass with Gear (Adult 14 and Up),4980,2024-10-06T19:54:45Z
69,CAPITAN: Youth Day Pass with Gear (Under 14 y/o),CAPITAN: Youth Day Pass with Gear (Under 14 y/o),4980,2024-10-06T19:54:45Z
70,CAPITAN: Day Pass with Gear (Adult 14 and Up),CAPITAN: Day Pass with Gear (Adult 14 and Up),4980,2024-10-06T19:54:30.006Z
71,CAPITAN: Youth Day Pass with Gear (Under 14 y/o),CAPITAN: Youth Day Pass with Gear (Under 14 y/o),4980,2024-10-06T19:54:30.006Z
72,Ozarka Water Bottle 16.9oz,Regular,216,2024-10-06T19:53:15Z
73,Ozarka Water Bottle 16.9oz,Regular,216,2024-10-06T19:53:06.795Z
74,Gatorade Thirst Quencher Sports Drink 20oz,Fruit Punch,271,2024-10-06T19:43:03Z
75,Gatorade Thirst Quencher Sports Drink 20oz,Fruit Punch,271,2024-10-06T19:42:57.183Z
76,CAPITAN: Day Pass with Gear (Adult 14 and Up),CAPITAN: Day Pass with Gear (Adult 14 and Up),2814,2024-10-06T19:41:16Z
77,CAPITAN: Day Pass with Gear (Adult 14 and Up),CAPITAN: Day Pass with Gear (Adult 14 and Up),2814,2024-10-06T19:41:06.200Z
78,CAPITAN: Day Pass (Adult 14 and Up),CAPITAN: Day Pass (Adult 14 and Up),4330,2024-10-06T19:39:20Z
79,CAPITAN: Day Pass (Adult 14 and Up),CAPITAN: Day Pass (Adult 14 and Up),4330,2024-10-06T19:39:11.830Z
80,CAPITAN: Youth Day Pass with Gear (Under 14 y/o),CAPITAN: Youth Day Pass with Gear (Under 14 y/o),2165,2024-10-06T19:34:35Z
81,CAPITAN: Youth Day Pass with Gear (Under 14 y/o),CAPITAN: Youth Day Pass with Gear (Under 14 y/o),2165,2024-10-06T19:34:24.168Z
82,CAPITAN: Day Pass with Gear (Adult 14 and Up),CAPITAN: Day Pass with Gear (Adult 14 and Up),2280,2024-10-06T19:31:43Z
83,CAPITAN: Day Pass with Gear (Adult 14 and Up),CAPITAN: Day Pass with Gear (Adult 14 and Up),2280,2024-10-06T19:31:29.199Z
84,Petzl Spirit Carabiner Vent (red),Regular,1294,2024-10-06T19:16:11Z
85,Petzl Spirit Carabiner Vent (red),Regular,1294,2024-10-06T19:16:05.171Z
86,CAPITAN: Day Pass with Gear (Adult 14 and Up),CAPITAN: Day Pass with Gear (Adult 14 and Up),5521,2024-10-06T18:58:18Z
87,CAPITAN: Non-Participant/Spectator Day Pass,CAPITAN: Non-Participant/Spectator Day Pass,5521,2024-10-06T18:58:18Z
88,CAPITAN: Youth Day Pass with Gear (Under 14 y/o),CAPITAN: Youth Day Pass with Gear (Under 14 y/o),5521,2024-10-06T18:58:18Z
89,CAPITAN: Youth Day Pass with Gear (Under 14 y/o),CAPITAN: Youth Day Pass with Gear (Under 14 y/o),5521,2024-10-06T18:57:51.448Z
90,CAPITAN: Day Pass with Gear (Adult 14 and Up),CAPITAN: Day Pass with Gear (Adult 14 and Up),5521,2024-10-06T18:57:51.448Z
91,CAPITAN: Non-Participant/Spectator Day Pass,CAPITAN: Non-Participant/Spectator Day Pass,5521,2024-10-06T18:57:51.448Z
