Description,Pre-Tax Amount,Tax Amount,Discount Amount,Name,Total Amount,Date,base_price_amount,revenue_category,membership_size,membership_freq,is_founder,is_free_membership,date_,Data Source,Day Pass Count
Regular,1.6,0.15,0.2,Ozarka Water Bottle 16.9oz,1.95,2025-01-20,2.0,Retail,,,False,False,2025-01-20 22:17:04+00:00,Square,0
CAPITAN: Youth Day Pass with Gear (Under 14 y/o),20.0,1.65,0.0,CAPITAN: Youth Day Pass with Gear (Under 14 y/o),21.65,2025-01-20,20.0,Day Pass,,,False,False,2025-01-20 22:01:41+00:00,Square,1
Regular,2.0,0.17,0.0,Ozarka Water Bottle 16.9oz,2.17,2025-01-20,2.0,Retail,,,False,False,2025-01-20 22:01:41+00:00,Square,0
Regular,2.3899999999999997,0.2,0.0,Honey Stinger Organic Salted Caramel Flavored Waffle,2.59,2025-01-20,2.39,Retail,,,False,False,2025-01-20 21:22:20+00:00,Square,0
CAPITAN: Day Pass with Gear (Adult 14 and Up),26.0,2.15,0.0,CAPITAN: Day Pass with Gear (Adult 14 and Up),28.15,2025-01-20,26.0,Day Pass,,,False,False,2025-01-20 21:15:00+00:00,Square,1
CAPITAN: Youth Day Pass with Gear (Under 14 y/o),20.0,1.65,0.0,CAPITAN: Youth Day Pass with Gear (Under 14 y/o),21.65,2025-01-20,20.0,Day Pass,,,False,False,2025-01-20 21:15:00+00:00,Square,1
Cool Blue,2.0,0.18,0.25,Gatorade Thirst Quencher Sports Drink 20oz,2.43,2025-01-20,2.5,Retail,,,False,False,2025-01-20 21:13:21+00:00,Square,0
Orange,2.0,0.19,0.25,Gatorade Thirst Quencher Sports Drink 20oz,2.44,2025-01-20,2.5,Retail,,,False,False,2025-01-20 21:13:21+00:00,Square,0
Fruit Punch,2.0,0.18,0.25,Gatorade Thirst Quencher Sports Drink 20oz,2.43,2025-01-20,2.5,Retail,,,False,False,2025-01-20 21:13:21+00:00,Square,0
Lemon Lime,6.0,0.56,0.75,Gatorade Thirst Quencher Sports Drink 20oz,7.31,2025-01-20,2.5,Retail,,,False,False,2025-01-20 21:13:21+00:00,Square,0
Regular,1.5,0.12,0.0,Bites Strawberry 1.3 oz by Bobos Oat Bars,1.62,2025-01-20,1.5,Retail,,,False,False,2025-01-20 21:10:59+00:00,Square,0
Regular,4.5,0.38,0.0,Han's Kombucha - Grapefruit Rosemary,4.88,2025-01-20,4.5,Retail,,,False,False,2025-01-20 21:10:59+00:00,Square,0
12 Fl Oz,2.61,0.24,0.32,"Tama Mate, GINGER Mate Sparkling Yerba Mate Tea",3.17,2025-01-20,3.25,Retail,,,False,False,2025-01-20 21:09:20+00:00,Square,0
Regular,3.5999999999999996,0.33,0.45,Han's Kombucha - Pineapple Cactus Nectar,4.38,2025-01-20,4.5,Retail,,,False,False,2025-01-20 21:06:29+00:00,Square,0
CAPITAN: Gear Upgrade,6.0,0.5,0.0,CAPITAN: Gear Upgrade,6.5,2025-01-20,6.0,Day Pass,,,False,False,2025-01-20 20:49:40+00:00,Square,1
CAPITAN: Day Pass with Gear (Adult 14 and Up),26.0,2.14,0.0,CAPITAN: Day Pass with Gear (Adult 14 and Up),28.14,2025-01-20,26.0,Day Pass,,,False,False,2025-01-20 20:34:31+00:00,Square,1
CAPITAN: Youth Day Pass with Gear (Under 14 y/o),40.0,3.3,0.0,CAPITAN: Youth Day Pass with Gear (Under 14 y/o),43.3,2025-01-20,20.0,Day Pass,,,False,False,2025-01-20 20:34:31+00:00,Square,2
CAPITAN: Youth Day Pass with Gear (Under 14 y/o),40.0,3.3,0.0,CAPITAN: Youth Day Pass with Gear (Under 14 y/o),43.3,2025-01-20,20.0,Day Pass,,,False,False,2025-01-20 20:26:15+00:00,Square,2
CAPITAN: Day Pass with Gear (Adult 14 and Up),26.0,2.14,0.0,CAPITAN: Day Pass with Gear (Adult 14 and Up),28.14,2025-01-20,26.0,Day Pass,,,False,False,2025-01-20 20:21:15+00:00,Square,1
CAPITAN: Day Pass with Gear (Adult 14 and Up),26.0,2.14,0.0,CAPITAN: Day Pass with Gear (Adult 14 and Up),28.14,2025-01-20,26.0,Day Pass,,,False,False,2025-01-20 20:20:46+00:00,Square,1
Purified Drinking Water,2.0,0.16,0.0,Great Value water,2.16,2025-01-20,2.0,Retail,,,False,False,2025-01-20 20:18:17+00:00,Square,0
CAPITAN: Gear Upgrade,12.0,0.99,0.0,CAPITAN: Gear Upgrade,12.99,2025-01-20,6.0,Day Pass,,,False,False,2025-01-20 19:56:41+00:00,Square,2
CAPITAN: Day Pass with Gear (Adult 14 and Up),26.0,2.15,0.0,CAPITAN: Day Pass with Gear (Adult 14 and Up),28.15,2025-01-20,26.0,Day Pass,,,False,False,2025-01-20 19:55:21+00:00,Square,1
CAPITAN: Youth Day Pass with Gear (Under 14 y/o),20.0,1.65,0.0,CAPITAN: Youth Day Pass with Gear (Under 14 y/o),21.65,2025-01-20,20.0,Day Pass,,,False,False,2025-01-20 19:55:21+00:00,Square,1
CAPITAN: Day Pass with Gear (Adult 14 and Up),26.0,2.15,0.0,CAPITAN: Day Pass with Gear (Adult 14 and Up),28.15,2025-01-20,26.0,Day Pass,,,False,False,2025-01-20 19:51:36+00:00,Square,1
CAPITAN: Youth Day Pass with Gear (Under 14 y/o),60.0,4.95,0.0,CAPITAN: Youth Day Pass with Gear (Under 14 y/o),64.95,2025-01-20,20.0,Day Pass,,,False,False,2025-01-20 19:51:36+00:00,Square,3
CAPITAN: Day Pass with Gear (Adult 14 and Up),41.599999999999994,3.86,5.2,CAPITAN: Day Pass with Gear (Adult 14 and Up),50.66,2025-01-20,26.0,Day Pass,,,False,False,2025-01-20 19:41:55+00:00,Square,2
One Size,7.949999999999999,0.74,1.0,Metolius Climbing Tape Roll White,9.69,2025-01-20,9.95,Retail,,,False,False,2025-01-20 19:35:22+00:00,Square,0
CAPITAN: Youth Day Pass with Gear (Under 14 y/o),60.0,4.95,0.0,CAPITAN: Youth Day Pass with Gear (Under 14 y/o),64.95,2025-01-20,20.0,Day Pass,,,False,False,2025-01-20 19:31:46+00:00,Square,3
CAPITAN: Youth Day Pass with Gear (Under 14 y/o),48.0,4.46,6.0,CAPITAN: Youth Day Pass with Gear (Under 14 y/o),58.46,2025-01-20,20.0,Day Pass,,,False,False,2025-01-20 19:30:45+00:00,Square,3
